Product Name,Description,Ingredients,Price,Discount (%),Slug,Active,Out of Stock,Featured,Top Selling,New Arrival,Best Selling,Special,Brand,Categories,Images,Variant SKU,Variant Label,Variant Slug,Variant Price,Variant Discount (%),Variant Stock,Variant Active,Variant Out of Stock
Cumin Seeds (Jeera),"Premium quality whole cumin seeds, perfect for tempering and flavoring Indian dishes.","100% Pure Cumin Seeds",85,5,cumin-seeds-jeera,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,MDH,"Spices, Cooking Essentials","whole-spices.png,spice-closeup.png",CUMIN-100G,100g,cumin-seeds-100g,85,5,50,TRUE,FALSE
Cumin Seeds (Jeera),"Premium quality whole cumin seeds, perfect for tempering and flavoring Indian dishes.","100% Pure Cumin Seeds",200,5,cumin-seeds-jeera,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,MDH,"Spices, Cooking Essentials","whole-spices.png,spice-closeup.png",CUMIN-250G,250g,cumin-seeds-250g,200,5,30,TRUE,FALSE
Cumin Seeds (Jeera),"Premium quality whole cumin seeds, perfect for tempering and flavoring Indian dishes.","100% Pure Cumin Seeds",380,5,cumin-seeds-jeera,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,MDH,"Spices, Cooking Essentials","whole-spices.png,spice-closeup.png",CUMIN-500G,500g,cumin-seeds-500g,380,5,20,TRUE,FALSE
Turmeric Powder (Haldi),"Pure turmeric powder with rich color and aroma, essential for Indian cooking.","100% Pure Turmeric",90,0,turmeric-powder-haldi,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Everest,"Spices, Health Products","spice-texture.png,garam-masala.png",TURM-100G,100g,turmeric-powder-100g,90,0,40,TRUE,FALSE
Turmeric Powder (Haldi),"Pure turmeric powder with rich color and aroma, essential for Indian cooking.","100% Pure Turmeric",170,0,turmeric-powder-haldi,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Everest,"Spices, Health Products","spice-texture.png,garam-masala.png",TURM-200G,200g,turmeric-powder-200g,170,0,25,TRUE,FALSE
Basmati Rice,"Long grain aromatic basmati rice, perfect for biryanis and pulao.",,120,10,basmati-rice,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,India Gate,"Rice, Staples","modern-tech-product.png",RICE-1KG,1kg,basmati-rice-1kg,120,10,100,TRUE,FALSE
Basmati Rice,"Long grain aromatic basmati rice, perfect for biryanis and pulao.",,550,10,basmati-rice,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,India Gate,"Rice, Staples","modern-tech-product.png",RICE-5KG,5kg,basmati-rice-5kg,550,10,50,TRUE,FALSE
Basmati Rice,"Long grain aromatic basmati rice, perfect for biryanis and pulao.",,1000,10,basmati-rice,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,India Gate,"Rice, Staples","modern-tech-product.png",RICE-10KG,10kg,basmati-rice-10kg,1000,10,20,TRUE,FALSE
Toor Dal,"High protein toor dal, staple for Indian dals and sambhar.",,130,0,toor-dal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tata Sampann,"Lentils, Staples","modern-tech-product.png",DAL-500G,500g,toor-dal-500g,130,0,75,TRUE,FALSE
Toor Dal,"High protein toor dal, staple for Indian dals and sambhar.",,250,0,toor-dal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tata Sampann,"Lentils, Staples","modern-tech-product.png",DAL-1KG,1kg,toor-dal-1kg,250,0,40,TRUE,FALSE
Garam Masala,"Aromatic blend of spices, essential for North Indian cuisine.","Coriander, Cumin, Black Pepper, Cardamom, Cinnamon, Cloves",95,5,garam-masala,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Catch,"Spices, Masala Blends","garam-masala.png,assorted-masalas.png",GM-50G,50g,garam-masala-50g,95,5,60,TRUE,FALSE
Garam Masala,"Aromatic blend of spices, essential for North Indian cuisine.","Coriander, Cumin, Black Pepper, Cardamom, Cinnamon, Cloves",180,5,garam-masala,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Catch,"Spices, Masala Blends","garam-masala.png,assorted-masalas.png",GM-100G,100g,garam-masala-100g,180,5,35,TRUE,FALSE
Pure Ghee,"Traditional clarified butter, rich in taste and aroma.",,550,8,pure-ghee,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Amul,"Dairy, Cooking Essentials","jar-of-pickles.png",GHEE-500ML,500ml,pure-ghee-500ml,550,8,30,TRUE,FALSE
Pure Ghee,"Traditional clarified butter, rich in taste and aroma.",,1000,8,pure-ghee,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Amul,"Dairy, Cooking Essentials","jar-of-pickles.png",GHEE-1L,1l,pure-ghee-1l,1000,8,15,TRUE,FALSE
Green Tea,"Antioxidant rich green tea with natural flavor.",,200,15,green-tea,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Organic India,"Beverages, Health Products","chai-snacks.png",GT-25BAGS,25 tea bags,green-tea-25bags,200,15,45,TRUE,FALSE
Green Tea,"Antioxidant rich green tea with natural flavor.",,380,15,green-tea,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Organic India,"Beverages, Health Products","chai-snacks.png",GT-50BAGS,50 tea bags,green-tea-50bags,380,15,25,TRUE,FALSE
Wheat Flour,"Whole wheat flour for chapatis and parathas.",,80,0,wheat-flour-atta,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ashirvaad,"Flour, Staples","modern-tech-product.png",ATTA-1KG,1kg,wheat-flour-1kg,80,0,200,TRUE,FALSE
Wheat Flour,"Whole wheat flour for chapatis and parathas.",,375,0,wheat-flour-atta,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ashirvaad,"Flour, Staples","modern-tech-product.png",ATTA-5KG,5kg,wheat-flour-5kg,375,0,80,TRUE,FALSE
Wheat Flour,"Whole wheat flour for chapatis and parathas.",,700,0,wheat-flour-atta,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ashirvaad,"Flour, Staples","modern-tech-product.png",ATTA-10KG,10kg,wheat-flour-10kg,700,0,40,TRUE,FALSE
